病原名称,拉丁名称,生物分类编号,同义词,病原体类型,病原体分类,世系信息,病原危害程度分类,生物安全等级,形态结构,图片,宿主分布,传播方式,易感性因素,人际传播力,致病力,相关疾病,人畜共患病,疾病等级,病死率,感染组织,疾病潜伏期,临床表型,流行季节,流行地域,历史爆发情况,参考基因组,参考基因组链接,GC含量（%）,基因组大小,分型,人类宿主受体,宿主结合蛋白,毒力因子,检测方法,疫苗有无,疫苗信息描述,药物有无,药物信息描述,抗原,灭活方法,,,,,
小反刍兽疫病毒,peste-des-petits-ruminants virus,2593991,PPR,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Morbillivirus; Morbillivirus caprinae,1,BSL-3 ,,,绵羊，山羊，家养鹿、瞪羚，野山羊，猪和牛等,该病需要动物直接接触才能传播。病毒来源包括：受感染动物的粪便；鼻涕；咳嗽产生的分泌物；以及眼泪。,绵羊和山羊是感染PPR 的常见动物，其中山羊感染情况更为严重,无传染性,高致病性,与牛瘟麻疹病毒、人麻疹病毒（麻疹病毒）和犬麻疹病毒（也称为犬瘟热病毒）等密切相关,否,,在流行环境中急性病例的死亡率可达到 80-100％,消化道，口腔黏膜等,3-5 天,口腔坏死、粘液脓性鼻涕和眼分泌物、咳嗽、肺炎和腹泻,,北非、中非、西非和东非、中东、南亚和南欧,该病于 1942 年在科特迪瓦首次被报道，此后已在世界 70 多个国家发现。2017 年，据报道该疾病影响了蒙古的赛加羚羊，导致这一濒危物种数量近乎灾难性地减少。2018 年，有报道称保加利亚靠近土耳其边境的地方发现了这种疾病。在 540 只绵羊和山羊的羊群中，有两只检测呈阳性，一只死亡，只有一家实验室确认了这种疾病，没有进行任何进一步的检测。尽管如此，仍有超过 4000 只绵羊和山羊被杀。,GCF_000866445.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000866445.1/,48,15.9 kb,西非（谱系 I 和 II）、东非和阿拉伯（谱系 III）以及巴基斯坦-印度（谱系 IV）,,目前，已知 PPRV 有两种细胞受体：信号淋巴细胞活化分子 (SLAM) 和 Nectin-4 [1],," 核酸检测：聚合酶链式反应(PCR); 抗原检测：酶联免疫吸附试验(ELISA)

",有,接种减毒株小反刍兽疫疫苗的绵羊和山羊，或从小反刍兽疫中恢复的动物，会对该病产生终身的主动免疫。目前有几种小反刍兽疫疫苗可用，所有这些疫苗都是自然小反刍兽疫病毒的细胞培养减毒株。最常用的两种疫苗株（Nigeria/75/1 和 Sungri/96）在实验试验中均已证明能够保护动物免受所有谱系的小反刍兽疫病毒的感染；Nigeria/75/1 疫苗在多个国家的实际使用中也被证明能够提供如此全面的跨谱系保护。,无,,,被紫外线灭活。高于 70°C 的温度以及 pH 值低于 5.6 或高于 9.6 也预计会使 PPRV 失活. 可被许多消毒剂灭活，包括碱（碳酸钠、氢氧化钠）、卤素（次氯酸钠）、酚类化合物、柠檬酸、醇类和碘化氢。,"[1] Prajapati M, Alfred N, Dou Y, Yin X, Prajapati R, Li Y, Zhang Z. Host Cellular Receptors for the Peste des Petits Ruminant Virus. Viruses. 2019 Aug 8;11(8):729. doi: 10.3390/v11080729. ",,,,
埃弗格莱兹病毒,Everglades virus,2083198,艾弗格拉德斯病毒 ,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus,第二类,BSL-3,,https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/24549,啮齿动物/人类/蚊子,蚊虫传播,不知,中传染性,中致病性,,是,,,,,头痛、发烧、肌肉酸痛,,持续流行(美国),,GCF_002829865.1?,https://www.ncbi.nlm.nih.gov/nuccore/1464309597,49.8,"	11.4 kb",,,,,,无,,无,,,,"[1] 7444536 
[2] 31107225 ",,,,
奥罗普切病毒,Orthobunyavirus oropoucheense,3052429,Oropouche orthobunyavirus; Oropouche virus;OROV,病毒,单链RNA,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus,II,BSL-3,病毒颗粒是球形的，直径在 80 到 110 nm 之间，周围环绕着脂质包膜[1],,哺乳动物（三趾树懒、非人类灵长类动物及啮齿类动物）和鸟类，人类,主要由媒介吸血昆虫如蚊、蠓等叮咬传播,,低传染性,中致病性,奥罗普切热,,,,,4~8天,通常伴有发热、剧烈头痛、关节僵硬、疼痛、发冷，有时持续恶心和呕吐，持续长达 7 天,,主要在中美洲（巴拿马、特立尼达及多巴哥）以及南美洲（巴西和秘鲁）流行传播,"第一次有记录的 OROV 发热疫情发生在贝伦，这是帕拉州人口最多的一个城市，以其雨林和亚马逊河而闻名，1961 年感染了大约 11,000 人[2]。在同一时期，帕拉州城市中心报告了七起 OROV 热疫情，感染人数约 30,000 人[3]。截至 2024 年 7 月 20 日，美洲区域共报告了 8078 例确诊的奥罗普切病例，包括 2 例死亡病例，涉及玻利维亚、巴西、哥伦比亚、古巴和秘鲁五个国家。巴西还报告了伯南布哥州的一例胎儿死亡和一例流产，以及四例可能与 OROV 感染有关的新生儿小头畸形病例。",GCF_000853785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000853785.1/,35.2 ~ 35.6,12 kb,,Lrp1[4],,,抗原检测：酶联免疫吸附试验(ELISA),无,,无,,,,[1]5417190.                [2]9080872.               [3]38224842.          [4]35939689.,,,,
波瓦森病毒,"Orthoflavivirus powassanense;
Powassan virus",3048287,,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus,2,BSL-3,,"https://www.ncbi.nlm.nih.gov/Structure/mmdb/mmdbsrv.cgi?dps=0&uid=7KYL

https://eol.org/pages/541211",该病毒可通过总共六种已知的蜱虫叮咬传播；包括以下四种硬蜱：库克硬蜱、肩突硬蜱、马克氏硬蜱和棘须硬蜱以及安德森革蜱和多变革蜱。,波瓦桑病毒 (POWV) 是北美洲唯一一种蜱传黄病毒。,"远足
钓鱼
狩猎
露营
园艺
遛狗
其他户外休闲运动（如：打高尔夫球）",,,该疾病可发展为脑炎、脑膜脑炎或无菌性脑膜炎。,是,,"10%（加拿大，Cleveland Clinic, CDC）;
16%（ThuftsNow）",皮肤（UBERON: 0002097）、嘴巴（UBERON: 0000165）、肛门、直肠（UBERON: 0001052）、生殖器,"1周至5周(CDC);
1 周至 1 个月(Rhode Island State)","感染的体征和症状包括：
发烧
癫痫发作
呕吐
弱点
困惑
头痛
记忆丧失

对于某些人来说，波瓦桑病毒病可导致：
脑炎（脑部炎症）
脑膜炎（大脑和脊髓周围膜的炎症） ",病例主要发生在晚春至仲秋，此时蜱虫最活跃。  ,"波瓦桑病毒 (POWV) 是北美洲唯一一种蜱传黄病毒。美国、加拿大和俄罗斯均有报告称 POWV 导致人类患病。

在美国，POWV 发病率最高的是明尼苏达州和威斯康星州，马萨诸塞州和纽约州的发病率也高于五大湖区或东北部地区的其他州。","已报告病例（2001 年至今）
2001 年至 2010 年间，美国共确诊 33 例波瓦桑病毒感染病例。[ 7 ]

2017 年发表了一例罕见病例，康涅狄格州一名 5 个月大的男婴感染了波瓦桑病毒。在 10 个月大的随访中，他幸存下来，运动和语言发育正常，但头部 MRI 显示脑部严重异常，包括两侧丘脑和基底神经节出现瘢痕（神经胶质增生）和软化（脑软化），以及左侧基底神经节出现体积减少和早期矿化。[ 22 ]

2019年10月28日，美国前参议员凯·哈根因2016年感染波瓦桑病毒去世，享年66岁。[ 23 ]

2022 年 5 月，康涅狄格州公共卫生部证实，一名 50 多岁的男子于 3 月在该州感染了Powassan 病毒，并因严重的神经症状住院，但后来出院在家休养。 [ 24 ] 2023 年 5 月，缅因州疾病控制和预防中心报告称，萨加达霍克县一名 58 岁的成年男性死于Powassan 病毒。[ 25 ]

2024 年 6 月 3 日，艺术家、作家兼音乐家玛丽安·哈里斯（Charles de Lint的配偶兼长期合作者）在与波瓦桑病毒长期斗争后去世，享年 71 岁。哈里斯于 2021 年感染了该病毒，随后瘫痪。她随后几年大部分时间都在医院和其他护理机构度过。[ 26 ]","GCA_000860485.1;  
GCA_004786555.1",https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=11083,, 10839bp,"波瓦桑病毒是一种RNA 病毒，分为两个独立的谱系：谱系 I，被称为“原型”谱系；谱系 II，即鹿蜱病毒(DTV) 谱系。[ 9 ]谱系 II 具有最多的遗传变异，这表明它很可能是由于正向自然选择而分裂出来的祖先谱系。（Wikipedia）

在西半球和俄罗斯发现了两种不同的 POWV 谱系。谱系 I 是 POWV，谱系 II 是 DTV。尽管存在一些系统发育差异，但这两个谱系共享 84% 的核苷酸和 94% 的氨基酸序列（23、24 ）。它们还具有抗原相似性，并被认为具有共同的起源。（Frontiers）",T 细胞免疫球蛋白和粘蛋白结构域 1 (TIM-1) ?,,"NS1 (L838F), NS3 (N2078T), NS4B (A2444S and A2457V), and NS5 (G2670E)?

好像尚不是很清楚？","Powassan 病毒感染的实验室诊断通常通过检测血清或脑脊液 （CSF） 以检测 Powassan 病毒特异性 IgM 和中和抗体来完成。

使用 IgM 捕获酶联免疫吸附测定 （ELISA） 进行初始血清学检测。Powassan 病毒 IgM 检测可在市面上获得，在一些州卫生部门和 CDC 都有。
Powassan 病毒 IgM 抗体检测结果呈阳性，应通过在州公共卫生实验室或 CDC 对血清样本进行中和抗体检测（噬菌斑减少中和试验 [PRNT]）来确认。
一些免疫功能低下的患者可能需要分子检测进行诊断。

可对病程早期采集的血清、脑脊液和组织标本进行病毒 RNA 检测（例如 RT-PCR），如果呈阳性，可确认感染。
免疫组织化学 （IHC） 可以检测福尔马林固定组织中的 Powassan 病毒抗原。
这些测试的阴性结果不排除 Powassan 病毒感染。
RT-PCR 和 IHC 在 CDC 和一些州公共卫生或参考实验室进行。",无,,无,,波瓦桑病毒 (POWV) 是一种蜱传黄病毒 (TBFV)，属于蜱传脑炎病毒 (TBEV) 血清群。POWV 与鹿蜱病毒 (DTV)（也称为 POWV 谱系 II）密切相关，这两种病毒是 TBEV 血清群中已知在北美传播的唯一 TBFV。,,"[1]	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=3048287&lvl=3&lin=f&keep=1&srchmode=1&unlock
[2]	https://eol.org/pages/541211
[3]	https://www.bu.edu/research/ethics-compliance/safety/rohp/agent-information-sheets/powassan-virus-agent-information-sheet/
[4]	https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2017.00342/full""
[5]	https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwjw.fujian.gov.cn%2Fjggk%2Fcsxx%2Fkjjyc%2Fswaq_202112%2F202406%2FP020240624639399447309.docx&wdOrigin=BROWSELINK
[6]	""https://www.ncbi.nlm.nih.gov/Structure/mmdb/mmdbsrv.cgi?dps=0&uid=7KYL
[7]	https://eol.org/pages/541211""
[8]	https://en.wikipedia.org/wiki/Powassan_virus
[9]	https://www.canada.ca/en/public-health/services/diseases/powassan-virus/risks.html
[10]	https://www.cdc.gov/powassan/hcp/clinical-signs/index.html
[11]	https://my.clevelandclinic.org/health/diseases/25092-powassan-virus
[12]	https://now.tufts.edu/2017/07/11/rare-viral-disease-rise""
[13]	https://health.ri.gov/diseases/ticks/?parm=150""
[14]	https://www.yalemedicine.org/conditions/powassan-virus
[15]	https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=11083
[16]	https://www.ncbi.nlm.nih.gov/nuccore/NC_003687.1
[17]	https://pubmed.ncbi.nlm.nih.gov/35073759/
[18]	https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0005346
[19]	https://www.cdc.gov/powassan/hcp/diagnosis-testing/index.html
[20]	https://www.cdc.gov/powassan/hcp/treatment-prevention/index.html",,,,
大别班达病毒（发热伴血小板减少综合征病毒）,Bandavirus dabieense,2748958,Huaiyangshan banyangvirus,病毒,负向单链RNA病毒,Viruses; ?Negarnaviricota; Ellioviricetes; Bunyavirales; Phenuiviridae; Bandavirus;?Dabie bandavirus,,BSL-2,,,人; 蜱虫; 羊; 猪; 猫; 狗; 鼠,可透過直接接觸急性期、末期或死亡病患之血液、體液或呼吸道飛沫顆粒 而導致感染。蜱蟲伺機攀附到經過的動物、寵物或人類身上，人類是遭帶有 SFTSV 的蜱蟲叮咬而感染。,农业工作者,低传染性,中致病性,发热伴血小板减少综合征,否,未分类，参照乙类传染病管理,5-15%,肝、肾,5-14天,SFTS患者一般表现为起病急，发热（多在38℃以上）、乏力、精神萎靡，有明显的恶心、呕吐、腹泻等早期消化道症状，伴有头痛、肌肉关节酸痛、行动困难、少尿等。查体可见单侧浅表淋巴结肿大，腹部压痛等体征。大多数患者很快出现肝、肾等器官功能受损，少数病例因病情进展迅速出现神经中枢系统症状、出血性表现、弥漫性血管内凝血（DIC）、休克、呼吸衰竭等，最终因多脏器功能衰竭而死亡。,春、夏季,中国; 日本; 韩国,"中國自 2010 年 10 月起監測發熱伴血小板減少綜合症之流行情形，2021 年 5 月計至 2016 年計有 5,360 位確診病例，主要分布於中部之山東、江蘇、安徽、河南、湖北、浙江及遼寧等地區。日本則自 2013 年起有 SFTS 病例報告，截至 2020 年 12 月 30 日累計有 573 位確診病例，其中 75 例死亡個案，致死率為 13.1%，病例主要分布於西部及南部 7。南韓亦自 2013 年起開始有 SFTS 病例，2019 年當年度累計有 223 位確診病例，其中 41 例死亡個案，致死率為 18.4%，病例以北部江原道及京畿道為多",GCF_000897355.1;??GCF_003087855.1;??GCF_029888005.1?,https://www.ncbi.nlm.nih.gov/assembly/GCF_000897355.1; https://www.ncbi.nlm.nih.gov/assembly/GCF_003087855.1; https://www.ncbi.nlm.nih.gov/assembly/GCF_029888005.1,48.4 ~ 49.2,6255 bp,无,内环细胞 （DC） 特异性细胞内粘附抓取非集成素[1],内环细胞 （DC） 特异性细胞内粘附抓取非集成素[1],,无,无,无,本病目前尚无特异性治疗手段，以对症治疗和支持治疗为主,无,Gn/Gc蛋白,,[1] Severe fever with thrombocytopenia virus glycoproteins are targeted by neutralizing antibodies and can use DC-SIGN as a receptor for pH-dependent entry into human and animal cell lines. J Virol. 2013;87:4384–94.,,,,
登革热病毒,Orthoflavivirus denguei,3052464,,病毒,RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus,,,,https://eol.org/pages/541236/articles,人类,蚊子叮咬,成人、儿童,中传染性（人-蚊-人）,中致病性,登革热,是,中国法定乙类传染病,10-40%,肌肉、关节,4-10天,高烧（40°C/104°F）、剧烈头痛、眼球后疼痛、肌肉和关节痛、恶心、呕吐、腺体肿胀、皮疹,夏秋季,见于全球热带和亚热带气候地区，多发生在城市和半城市地区,目前，世界上约有一半的人口面临登革热感染风险，估计每年有1亿至4亿人感染。,"GCF_000871845.1；
",https://www.ncbi.nlm.nih.gov/nuccore/158976983,46,10.7 kb,四个血清型（登革1型~4型）,,,,1.病原性检查   2.血清免疫学检查,有,有一种疫苗（QDenga）已在一些国家获得批准和许可。但是，仅建议在高传播环境中用于6 至 16 岁年龄组的儿童。正在对另外几种疫苗进行评估。,无,,,60度30min或100度2min,"[1] Waggoner, J.J., et al., Viremia and Clinical Presentation in Nicaraguan Patients Infected Wi1. Waggoner, J.J., et al., Viremia and Clinical Presentation in Nicaraguan Patients Infected With Zika Virus, Chikungunya Virus, and Dengue Virus. Clinical Infectious Diseases, 2016. 63(12): p. 1584-1590.
 [2] Bhatt, S., et al., The global distribution and burden of dengue. Nature, 2013. 496(7446): p. 504–507.
 [3] Brady, O.J., et al., Refining the global spatial limits of dengue virus transmission by evidence-based consensus. PLOS Neglected Tropical Diseases, 2012. 6(8): p. e1760.",,,,
东方马脑炎病毒,Eastern equine encephalitis virus,11021,"Eastern equine encephalitis (EEEV), Western equine encephalitis (WEEV)",病毒,单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Eastern",1,BSL-3,,,人类、爬行动物、蝙蝠、野鸡、野鸟、蚊子、马、狗和啮齿动物,主要的 EEEV 和 WEEV 传播周期发生在鸟类和蚊子之间（EEEV 的黑毛库蚊和 WEEV 的睑库蚊），这两种病毒都是通过节肢动物（如伊蚊、Coquillettidia 和库蚊属）叮咬自然传播给人类的，这些节肢动物以鸟类和人类为食,no,低传染性,高致病性,虫媒病毒脑炎,是,,东部马脑炎(EEE)是最严重的虫媒病毒性脑炎，死亡率为50%至75%，西部马脑炎病毒的死亡率为3- 7%,中枢神经系统,EEEV 的潜伏期超过 1 周（范围为 4-10 天），WEEV 的潜伏期为 2-7 天,东方马脑炎 （EEE） 是虫媒病毒脑炎中最严重的，死亡率为 50% 至 75%.该病的症状包括发烧、头痛、呕吐、呼吸道症状、白细胞增多、头晕、意识水平下降、震颤、癫痫发作和局灶性神经系统体征.感染后 3 至 5 天内可死亡脚注5.那些幸存下来的人患有神经系统后遗症，包括抽搐、瘫痪和智力低下.脑水肿、缺血和灌注不足存在于疾病的早期阶段.WEEV 在人类中引起无症状或轻度感染，具有非特异性症状，例如突然发热、头痛、恶心、呕吐、厌食和不适.一些患者还可能出现精神状态改变和虚弱，伴有脑膜刺激的体征.在极少数情况下，WEEV 感染可引起脑炎或脑脊髓炎，导致颈部僵硬、意识模糊、视觉障碍、畏光、强直阵挛发作、嗜睡、昏迷和死亡.15% 到 50% 的脑炎幸存者，尤其是幼儿，患有永久性神经损伤（智力低下、情绪不稳定和痉挛性麻痹）.西方马脑炎病毒的死亡率为 3-7 %,在加拿大，EEEV 引起的感染主要发生在春季；在美国，每年夏天都会发生小规模爆发；,EEEV 广泛分布于北美、中美洲和南美洲;加勒比地区;加拿大东部沿海地区;波兰;前苏联;泰国;菲律宾;和前捷克斯洛伐克,EEEV 广泛分布于北美、中美洲和南美洲;加勒比地区;加拿大东部沿海地区;波兰;前苏联;泰国;菲律宾;和前捷克斯洛伐克.在美国，由 EEEV 引起的人类感染通常是零星的，每年夏天都会发生小规模爆发，主要发生在大西洋和墨西哥湾沿岸.此外，疾病控制和预防中心报告称，1964 年至 2004 年间，美国发生了 220 例确诊的人类 EEE 病例.在加拿大，EEEV 引起的感染主要发生在春季，与鸟类从美国南部迁徙到加拿大北部有关.WEEV 病毒广泛分布在北美洲和南美洲，但在中美洲不存在.美国疾病控制和预防中心报告称，1964 年至 2004 年间，美国发生了 639 例确诊的人类 WEE 病例,GCA_000862705.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000862705.1/,24.0 ~ 50.2,11.6  Kb,,,,no,EEEV 和 WEEV 感染均可使用血清学检测（如 ELISA）来检测血清和 CSF 中的 IgM 抗体，逆转录聚合酶链反应 （RT-PCR） 和实时 RT-PCR 等分子生物学方法也可用于检测临床标本中的 WEEV/EEEV 特异性 RNA,无,Imovax Rabies，人类二倍体细胞疫苗(HDCV)，或RabAvert，一种纯化鸡胚细胞疫苗(PCECV)。,无,无,,EEEV 可通过暴露于浓度为 50% 的乙醇 60 分钟来灭活脚注8.大多数包膜病毒也对 1% 次氯酸钠、2% 戊二醛、季铵化合物和酚类物质敏感，物理灭活：使用湿热和干热可以灭活微生物脚注11.EEEV 可被紫外线灭活,,,,,
多理病毒,Thogotovirus dhoriense,11318,多里病毒,病毒,RNA 病毒,K_?Viruses?| P_?Negarnaviricota?| C_?Insthoviricetes?| O_?Articulavirales?| F_?Orthomyxoviridae?| G_?Thogotovirus?| S_?Dhori thogotovirus,第二类,BSL-3,,,哺乳动物/蜱虫/蚊子,,未知,,,,是,,,,,发烧、脑炎、头痛、虚弱,,持续流行(亚洲、欧洲),,GCF_002116195.1?,https://www.ncbi.nlm.nih.gov/nuccore/?from_uid=4857488&linkname=assembly_nuccore_refseq,45.8 ~ 45.8,"	10.6 kb",,,,,,,,,,,,[1] 3445590                          [2] 32230796 ,,,,
鄂木斯克出血热病毒,Orthoflavivirus omskense,3048233,omskense，Omsk   hemorrhagic fever virus,病毒,正义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,Orthoflavivirus",1,BSL-4,无,无,人类、麝鼠 （Ondatra zibethica）、窄头田鼠 （Microtus gregalis）、水田鼠 （Arvicola terrestris）、蜱虫 （Dermacentor reticulatus、Dermacentor marginatus?和 Ixodes apronophrus）和蚊子 （伊蚊 flavenscens?和?伊蚊 subdiversus)?.麝鼠、鼩鼱和水田鼠被认为是 OHF 病毒的有效扩增宿主,感染途径是接触 OHFV 感染的麝鼠的尿液、粪便或血液1-6以及通过受感染的蜱虫叮咬13-5.实验室获得性感染可因暴露于传染性气溶胶而发生,no,低传染性,无,OHF 的发作是突然的，发热持续 5 至 12 天.发热通常会缓解，之后 30% 至 50% 的患者会出现第二个发热期，通常比第一个发热期更严重.常见症状包括发烧、头痛、肌痛和咳嗽，以及心动过缓、脱水、低血压和胃肠道症状.OHF 的出血表现通常是流鼻血、牙龈出血、吐血、肺血和子宫非月经出血，在大多数情况下，这些表现不是特别严重.在第二阶段，患者可出现脑膜体征，但尚未报道神经系统受累.OHF 的恢复通常很慢，但后遗症不常见.死亡率为 0.5% 至 3%,是,中国法定乙类传染病,0.5 to 3%,无特异性,通常为 3 至 7 天，极端为 1 至 10 天,常见症状包括发烧、头痛、肌痛和咳嗽，以及心动过缓、脱水、低血压和胃肠道症状，OHF 的出血表现通常是流鼻血、牙龈出血、吐血、肺血和子宫非月经出血,秋天,"Russia(42),Unknown(5)",OHFV 在 1943 年至 1945 年间在西西伯利亚西部鄂木斯克农村地区爆发几次疫情后首次被发现 4。该病毒于 1947 年首次从后来流行期间从一名出血热患者的血液中分离出来37.OHFV 的天然病源位于鄂木斯克和新西伯利亚地区，以及西伯利亚的库尔干和秋明地区，这些地区主要是森林地区和开阔的湿地.与 OHFV 相关的典型景观是森林草原.OHF 的发病率最高是在第二次世界大战后的几年里观察到的，此后报告的感染人数大幅下降，这可能是由于生活在流行地区的人口进行了免疫接种.在 1946 年至 2000 年期间，至少诊断出 1344 例 OHF，表现为大规模流行、局部爆发和散发病例，其中 97% 的病例发生在北部森林草原地区.OHF 病例主要发生在 4 月至 12 月之间，最大的爆发通常发生在深秋（9 月和 10 月），当时在狩猎季节接触了感染 OHFV 的麝鼠。较小的爆发发生在蜱活动高峰期（Dermacentor reticulatus，4 月;Dermacentor marginatus，8 月至 9 月）,GCF_000855505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000855505.1/,53.0 ~ 53.7,11.9  Kb,,,,no,血清学诊断可使用 ELISA、中和、互补固定、IgM 捕获、RT-PCR 和血凝素抑制等技术进行,无,Imovax Rabies，人类二倍体细胞疫苗(HDCV)，或RabAvert，一种纯化鸡胚细胞疫苗(PCECV)。,有,无,无,"被 3% 至 8% 的甲醛、2% 的戊二醛、2% 至 3% 的过氧化氢、500 至 5,000 ppm 的有效氯、酒精、1% 碘和苯酚碘伏灭活，通过加热（50 至 60°C 至少 30 分钟）、紫外线和伽马射线灭活",,,,,
恩杜姆病毒,Ndumu virus,59302,,病毒,单链RNA病毒,K_?Viruses?| P_?Kitrinoviricota?| C_?Alsuviricetes?| O_?Martellivirales?| F_?Togaviridae?| G_?Alphavirus?| S_?Ndumu virus,第二类,BSL-3,,,人类/牲畜/蚊,蚊虫传播,,,,,是,,,,,,,持续流行(非洲),,GCF_000895975.1?,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000895975.1/,48.8 ~ 51.5,11.7 kb,,,,,,无,,,,,,[1]23006778  ,,,,
